Detector-name Unit-Conversion Colour-Correction UCxCC
100-1a 238.6746 1.00418 239.67262
100-1b 242.0612 1.00039 242.15479
100-2a 244.1066 0.99878 243.80928
100-2b 243.3663 0.99959 243.26676
100-3a 246.0976 0.99669 245.2835
100-3b 240.203 1.00271 240.85465
100-4a 246.6126 0.99625 245.68761
100-4b 247.7328 0.99507 246.5107
143-1a 366.7128 1.01288 371.43687
143-1b 369.8268 1.01017 373.58658
143-2a 366.8748 1.01281 371.57391
143-2b 370.7999 1.00932 374.25681
143-3a 360.5087 1.01842 367.15073
143-3b 366.1708 1.01343 371.08719
143-4a 371.5267 1.00879 374.79319
143-4b 369.3806 1.01056 373.28231
143-5 380.1839 1.00124 380.65521
143-6 373.376 1.00711 376.03138
143-7 381.4835 1.00014 381.53576
143-8 376.4326 1.00451 378.13212
217-1 486.4649 0.98749 480.37958
217-2 486.7221 0.98688 480.33645
217-3 487.4423 0.98617 480.70019
217-4 486.5254 0.98746 480.42622
217-5a 480.1251 0.99569 478.05406
217-5b 480.7874 0.99469 478.23493
217-6a 480.9493 0.99436 478.23603
217-6b 480.9435 0.99432 478.21075
217-7a 481.7061 0.99338 478.51545
217-7b 481.1626 0.99364 478.10452
217-8a 479.9856 0.99576 477.94857
217-8b 481.0471 0.99463 478.46412
353-1 288.3674 0.99251 286.20881
353-2 287.7097 0.99156 285.28212
353-3a 289.0136 0.99284 286.94291
353-3b 289.1216 0.9934 287.21424
353-4a 286.4243 0.98784 282.94204
353-4b 286.4629 0.98836 283.12709
353-5a 289.7868 0.99535 288.43849
353-5b 289.7567 0.99563 288.48904
353-6a 288.4509 0.99288 286.39789
353-6b 292.4022 0.99887 292.07126
353-7 285.1847 0.98637 281.2977
353-8 282.9961 0.98344 278.31071
